way,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,4-aminobutyrate/Succinate,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Acetyl-CoA,Glutarate,Glutarate,Glutarate,Glutarate,Glutarate,Glutarate,Glutarate,Glutarate,Glutarate
EC,1.1.1.373,1.1.1.61,1.3.1.44,1.3.1.9,2.3.1.19,2.7.2.7,2.8.3.8,2.8.3.9,4.2.1.120,5.3.3.3,1.1.1.157,1.1.1.178,1.1.1.35,1.1.1.36,1.3.1.44,1.3.1.9,2.3.1.19,2.3.1.9,2.7.2.7,2.8.3.5,2.8.3.8,2.8.3.9,4.2.1.107,4.2.1.17,5.1.2.3,5.3.3.8,1.1.99.2,1.3.1.44,1.3.1.9,2.3.1.19,2.7.2.7,2.8.3.12,2.8.3.8,2.8.3.9,4.1.1.70
sample_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3452799,0.013218105027285945,0.013281048384558736,0.0015735839318197554,0.09894695763282622,0.002706564362729979,0.010133880520919224,0.0033359979354578816,0.0042801482945497345,0.0018883007181837064,0.0018883007181837064,0.054005400540054004,0.0,0.2935048749630208,6.294335727279022e-05,0.0015735839318197554,0.09894695763282622,0.002706564362729979,0.09624039327009624,0.010133880520919224,0.012903388240921994,0.0033359979354578816,0.0042801482945497345,0.0,0.3845209695794754,0.293441931605748,0.16824759399016825,0.0,0.0015735839318197554,0.09894695763282622,0.002706564362729979,0.010133880520919224,0.0,0.0033359979354578816,0.0042801482945497345,0.006860825942734134
ERR3452809,0.0020283711165748346,0.0021732547677587514,0.0006519764303276254,0.13155435527499643,0.03491695993532394,0.04556590829734182,0.0023905802445346263,0.003477207628414002,0.014415923292799717,0.014415923292799717,0.07273159289432621,0.0,0.06483543390480274,0.009707204629322423,0.0006519764303276254,0.13155435527499643,0.03491695993532394,0.10134611400314977,0.04556590829734182,0.02376091879416235,0.0023905802445346263,0.003477207628414002,0.0,0.17675805444437845,0.0536069509380492,0.02687591729461656,0.0,0.0006519764303276254,0.13155435527499643,0.03491695993532394,0.04556590829734182,0.004998485965845128,0.0023905802445346263,0.003477207628414002,0.020283711165748345
ERR3452806,0.00015321314783306816,0.0003064262956661363,0.00022981972174960223,0.1385046856410936,0.04144415648884493,0.05829760275048243,0.0013789183304976132,0.0018385577739968178,0.009652428313483292,0.009652428313483292,0.05454388062857226,0.0,0.009269395443900623,0.002374803791412556,0.00022981972174960223,0.1385046856410936,0.04144415648884493,0.06557522727255316,0.05829760275048243,0.008733149426484885,0.0013789183304976132,0.0018385577739968178,0.0,0.09437929906516998,0.005285853600240851,0.0016087380522472156,0.0,0.00022981972174960223,0.1385046856410936,0.04144415648884493,0.05829760275048243,0.004826214156741646,0.0013789183304976132,0.0018385577739968178,0.018921823757383917
ERR3452805,0.000884914638921643,0.0012167576285172592,0.003041894071293148,0.09833613925016758,0.013329026748757248,0.03998708024627175,0.004037423040079997,0.008351381904823006,0.016149692160319987,0.016149692160319987,0.06011888828173912,0.0,0.0123334977799704,0.0,0.003041894071293148,0.09833613925016758,0.013329026748757248,0.07162277858772048,0.03998708024627175,0.00801953891522739,0.004037423040079997,0.008351381904823006,0.0,0.07416690817462021,0.01111674015145314,0.005917866647788488,0.0,0.003041894071293148,0.09833613925016758,0.013329026748757248,0.03998708024627175,0.001769829277843286,0.004037423040079997,0.008351381904823006,0.015596620510993957
ERR3452791,0.0,5.946674976153833e-05,0.004341072732592298,0.0952657331179844,0.01920776017297688,0.04031845633832299,0.004816806730684605,0.0076117439694769065,0.01605602243561535,0.01605602243561535,0.07147903321336908,0.0,0.006660275973292293,0.00071360099713846,0.004341072732592298,0.0952657331179844,0.01920776017297688,0.06933823022195369,0.04031845633832299,0.010525614707792286,0.004816806730684605,0.0076117439694769065,0.0,0.07474970445025368,0.005946674976153833,0.00035680049856923,0.0,0.004341072732592298,0.0952657331179844,0.01920776017297688,0.04031845633832299,0.0024381367402230717,0.004816806730684605,0.0076117439694769065,0.02039709516820765
ERR3452792,0.00018935915182248715,0.00025247886909664956,0.0022723098218698458,0.11184813900981574,0.02272309821869846,0.04651923163105768,0.002714147842788983,0.006438211161964563,0.03806118951631992,0.03806118951631992,0.09751996318858089,0.0,0.002966626711885632,0.0,0.0022723098218698458,0.11184813900981574,0.02272309821869846,0.08148755500094364,0.04651923163105768,0.015464330732169785,0.002714147842788983,0.006438211161964563,0.0,0.08912504079111729,0.0028403872773373074,0.0015779929318540597,0.0,0.0022723098218698458,0.11184813900981574,0.02272309821869846,0.04651923163105768,0.0015779929318540597,0.002714147842788983,0.006438211161964563,0.034715844500789315
ERR3452802,0.006586979736720416,0.007385401522989558,0.001463773274826759,0.10233105894016162,0.015502689683392494,0.02887625460340061,0.00299408169850928,0.004524390122191801,0.016966462958219252,0.016966462958219252,0.07704770237497213,0.0,0.13167305958555256,0.00019960544656728534,0.001463773274826759,0.10233105894016162,0.015502689683392494,0.09155236482552821,0.02887625460340061,0.009714131732941219,0.00299408169850928,0.004524390122191801,0.0,0.20506132877345778,0.13140691899012952,0.07518471820701081,0.0,0.001463773274826759,0.10233105894016162,0.015502689683392494,0.02887625460340061,0.0005322811908460943,0.00299408169850928,0.004524390122191801,0.01310742432458507
ERR3452811,0.0012167624945128692,0.001403956724437926,0.0002807913448875852,0.12045948695677404,0.052788772838866016,0.06336524682963172,0.002059136529175625,0.0027143163339133232,0.01338438743964156,0.01338438743964156,0.048202514205702124,0.0,0.029951076788009085,0.0014975538394004543,0.0002807913448875852,0.12045948695677404,0.052788772838866016,0.05971495934609312,0.06336524682963172,0.00992129418602801,0.002059136529175625,0.0027143163339133232,0.0,0.0955626543767415,0.027798343143870932,0.0151627326239296,0.0,0.0002807913448875852,0.12045948695677404,0.052788772838866016,0.06336524682963172,0.004399064403238835,0.002059136529175625,0.0027143163339133232,0.01572431531370477
