Pathway,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,Succinate,acrylate,acrylate,propanediol,propanediol,propanediol,propanediol,propanediol
way,a,a,a,a,a,a,a,b,b,b,b,b,b,b,a,a,a,a,a,a,a
EC,2.1.3.1,2.8.3.1,4.1.1.41,5.1.99.1,5.4.99.2,6.2.1.13,6.2.1.5,2.1.3.1,4.1.1.41,5.1.99.1,5.4.99.2,6.2.1.1,6.2.1.17,6.2.1.5,2.8.3.1,6.2.1.13,1.1.1.77,1.2.1.87,2.8.3.1,4.2.1.28,6.2.1.13
sample_id,,,,,,,,,,,,,,,,,,,,,
ERR3452799,0.0,0.02007893097002008,0.017057649820926148,0.0002517734290911609,0.02624737998275352,0.0003147167863639511,0.09353382890736626,0.0,0.017057649820926148,0.0002517734290911609,0.02624737998275352,0.04657808438186476,0.0006294335727279022,0.09353382890736626,0.02007893097002008,0.0003147167863639511,0.03738835422003739,0.021211911400930303,0.02007893097002008,0.0521170998218703,0.0003147167863639511
ERR3452809,7.244182559195838e-05,0.02716568459698439,0.0006519764303276254,0.006447322477684296,0.04469660639023832,0.003477207628414002,0.06287950461381987,7.244182559195838e-05,0.0006519764303276254,0.006447322477684296,0.04469660639023832,0.048536023146612116,0.005215811442621003,0.06287950461381987,0.02716568459698439,0.003477207628414002,0.06584961946309016,0.011952901222673132,0.02716568459698439,0.006447322477684296,0.003477207628414002
ERR3452806,0.0,0.015704347652889486,0.0,0.0039069352697432376,0.05002409276749675,7.660657391653408e-05,0.05086676508057862,0.0,0.0,0.0039069352697432376,0.05002409276749675,0.04611715749775351,0.0012257051826645453,0.05086676508057862,0.015704347652889486,7.660657391653408e-05,0.07338909781203964,0.006358345635072328,0.015704347652889486,0.002144984069662954,7.660657391653408e-05
ERR3452805,0.0,0.03246530581543778,0.00022122865973041075,0.001603907783045478,0.017753599943365464,0.0021569794323715048,0.020850801179591212,0.0,0.00022122865973041075,0.001603907783045478,0.017753599943365464,0.028538497105222986,5.530716493260269e-05,0.020850801179591212,0.03246530581543778,0.0021569794323715048,0.07980823899774568,0.031248548186920518,0.03246530581543778,0.00575194515299068,0.0021569794323715048
ERR3452791,0.0,0.023013632157715336,0.0,0.0020218694918923033,0.025630169147223023,0.0002973337488076917,0.01748322442989227,0.0,0.0,0.0020218694918923033,0.025630169147223023,0.04019952283879991,0.00041626724833076833,0.01748322442989227,0.023013632157715336,0.0002973337488076917,0.08396705066329213,0.02818723938696917,0.023013632157715336,0.00499520697996922,0.0002973337488076917
ERR3452792,0.0,0.02253373906687597,0.00012623943454832478,0.0007574366072899486,0.01559057016671811,0.0006943168900157863,0.007195647769254512,0.0,0.00012623943454832478,0.0007574366072899486,0.01559057016671811,0.037619351495400785,0.0,0.007195647769254512,0.02253373906687597,0.0006943168900157863,0.07713229450902644,0.018809675747700393,0.02253373906687597,0.002777267560063145,0.0006943168900157863
ERR3452802,0.0,0.023353837248372384,0.002727941103086233,0.0015968435725382828,0.009115315393239364,0.0009314920839806649,0.04364705764937973,0.0,0.002727941103086233,0.0015968435725382828,0.009115315393239364,0.037126613061515074,0.00019960544656728534,0.04364705764937973,0.023353837248372384,0.0009314920839806649,0.06766624638630973,0.016567252065084682,0.023353837248372384,0.024418399630064574,0.0009314920839806649
